"","Participant","Gender","Instrument","Age","DFS_Flow","DFS_Balance","DFS_Merging","DFS_Goals","DFS_Feedback","DFS_Concentration","DFS_Control","DFS_Consciousness","DFS_Time","DFS_Autotelic","F1_Flow","F1_Balance","F1_Merging","F1_Goals","F1_Feedback","F1_Concentration","F1_Control","F1_Consciousness","F1_Time","F1_Autotelic","F2_Flow","F2_Balance","F2_Merging","F2_Goals","F2_Feedback","F2_Concentration","F2_Control","F2_Consciousness","F2_Time","F2_Autotelic","F3_Flow","F3_Balance","F3_Merging","F3_Goals","F3_Feedback","F3_Concentration","F3_Control","F3_Consciousness","F3_Time","F3_Autotelic","Flow_average","NF1_Flow","NF1_Balance","NF1_Merging","NF1_Goals","NF1_Feedback","NF1_Concentration","NF1_Control","NF1_Consciousness","NF1_Time","NF1_Autotelic","NF2_Flow","NF2_Balance","NF2_Merging","NF2_Goals","NF2_Feedback","NF2_Concentration","NF2_Control","NF2_Consciousness","NF2_Time","NF2_Autotelic","NF3_Flow","NF3_Balance","NF3_Merging","NF3_Goals","NF3_Feedback","NF3_Concentration","NF3_Control","NF3_Consciousness","NF3_Time","NF3_Autotelic","NF_average","GMSI_F1","GMSI_F2","GMSI_F3","GMSI_F4","GMSI_F5","GMSI_FG","tot_tei","well_being","self_control","emotionality","sociability","Extrav","Agree","Consc","Emot","Open","Age_start_musical_education","Hours_practice","Age_start_main_instrument","Years_played","Prize_won","Number_prizes","Music_perf_degree","Undergrad_Postgrad","Music_perf_degree_past","Flow_liking","Flow_familiarity","Non_liking","Non_familiarity","Comments","Q8a","GoldMSI_hours","delta","theta","alpha_lower","alpha_upper","beta","gamma_lower","gamma_upper","DF_tw1","DF_tw2","DNF_tw1","DNF_tw2","A2F_tw1","A2F_tw2","A2NF_tw1","A2NF_tw2","BF_tw1","BF_tw2","BNF_tw1","BNF_tw2","GF_tw1","GF_tw2","GNF_tw1","GNF_tw2","Flow_NF_Difference","RFlow_NF","NFlow_NF","DF_60s_1","DNF_60s_1","A2F_60s_1","A2NF_60s_1","BF_60s_1","BNF_60s_1","GF_60s_1","GNF_60s_1","DF_DNF","AF_ANF","BF_BNF","GF_GNF","logA2F_tw1","logA2F_tw2","logA2NF_tw1","logA2NF_tw2","logBF_tw1","logBF_tw2","logBNF_tw1","logBNF_tw2","logGF_tw1","logGF_tw2","logGNF_tw1","logGNF_tw2","logA2F_60s_1","logA2NF_60s_1","logA2F_A2NF_60s_1","RDFS_Flo","NDFS_Flo","FminusNFA2t1","FminusNFA2t2","FminusNFDt1","FminusNFDt2","FminusNFBt1","FminusNFBt2","FminusNFGt1","FminusNFGt2","FminusNFlogGt2","FminusNFlogBt2","logDF_tw1","logDF_tw2","logDNF_tw1","logDNF_tw2","FminusNFlogDt1","RFlow_av","NFlow_av","RNF_aver","NNF_aver","FMTheta_rel","flow_right_cluster","nonflow_right_cluster"
"14","GH",1,"Violin",22,3.916666667,3.25,3.75,4,5,4.25,4,3,4,4,3.527777778,4,2.75,4,4,3.75,3.25,2.75,3.25,4,4.305555556,4.5,4,4.75,4.25,4.75,4.5,3.75,3.5,4.75,3.638888889,3.75,3.5,4,4.25,4.5,3.25,2.75,4,2.75,3.82407407433333,3.777777778,4,4.25,4,4.75,4.25,3.75,3.75,2.25,3,3.333333333,4,4,2.75,3.75,3.25,3.5,4,2.25,2.5,3.277777778,4,3.25,2.5,3.5,3.5,3,4,3.25,2.5,3.462962963,44,54,46,39,38,105,5.26666666666667,6.16666666666667,3.66666666666667,5.875,4.83333333333333,5.5,5,6,4,5,3,2.5,6,14,1,NA,1,2,1,8,9,7,9,"",5,6,-0.119865574688085,0.055388562703079,0.0838763228850617,0.05742983596113,0.0827444449839859,-0.0128739658670075,0.0382345314073342,5.38503675604303,6.28390458081291,8.88334116246749,11.2283901783212,1.88552577955251,2.10039129855402,1.56146582204853,1.45014315814625,0.771557559703113,0.669339175738361,0.52338980358102,0.368624172664799,0.156647883876147,0.159178343957377,0.131350891322622,0.0915782520482522,0.361111111333333,32,2,5.83748542906472,11.5399596308954,1.95507356008584,1.36571445472815,0.724990785468311,0.354785572736879,0.162658068814081,0.110660155225207,-5.70247420183068,0.58935910535769,0.370205212731432,0.051997913588874,0.275432474604733,0.322300210434958,0.193532482669213,0.161410877906703,-0.112631669174424,-0.174353755440121,-0.281174742322107,-0.433416189163823,-0.805075467536951,-0.798116017876986,-0.881566975826651,-1.03820765009685,0.291163102467619,0.135359906007919,0.1558031964597,12,1,0.32405995750398,0.65024814040777,-3.49830440642446,-4.94448559750829,0.248167756122093,0.300715003073562,0.025296992553525,0.0676000919091248,0.240091632219863,0.259062433723703,0.731188671959383,0.798229581787884,0.948576341398831,1.05031749563925,-0.217387669439448,30,2,16,1,1.00942020403384,0.049013499,0.010544311
"15","JB",1,"Piano",30,4.861111111,4.75,4.5,5,5,5,5,4.75,4.75,5,3.777777778,4.5,3.75,3.25,4,4,2.25,5,3.25,4,4.944444444,5,5,5,5,5,5,5,4.5,5,4.361111111,5,5,3.25,4.5,5,3.5,4,4,5,4.361111111,3.611111111,5,4.75,3.75,4.5,2.25,3.5,5,2.5,1.25,4.083333333,5,2.75,5,5,4.25,4.75,4,3,3,4.583333333,5,4.75,5,5,5,5,4.25,3.5,3.75,4.09259259233333,55,63,45,42,38,110,5.03333333333333,5.5,3.5,5,5.16666666666667,6.5,3,4.5,2,6.5,7,7,7,23,1,13,1,2,1,10,10,5,2,"",5,7,0.0459744544031019,-0.0797962746175215,-0.0876770367289566,-0.148849061247772,-0.0597324957032732,-0.0662824417299174,-0.145595875994281,9.35235091318764,8.59076192609182,12.7285851825561,11.2691814307745,1.19211935524234,2.06872501860595,0.826116936650845,0.587550782047703,0.299183965200235,0.324105625220682,0.132846120440284,0.212003397847803,0.48040514033979,0.371807605479652,0.252557813586173,0.623720455147474,0.268518518666666,36,2,9.28872245161042,12.4383717733824,1.3893441099547,0.60579130989262,0.300615718923245,0.153443415348292,0.534473799001378,0.501314374447629,-3.14964932177198,0.78355280006208,0.147172303574953,0.033159424553749,0.0763197392365717,0.315702766722408,-0.0829584740504089,-0.230954591337095,-0.524061686247638,-0.489313431229126,-0.876651123948311,-0.67365717843575,-0.318392354288985,-0.429681730798487,-0.597639190822722,-0.205010012864047,0.14280982424434,-0.217676960935074,0.360486785179415,1.5,1,0.366002418591495,1.48117423655825,-3.37623426936846,-2.67841950468268,0.166337844759951,0.112102227372879,0.227847326753617,-0.251912849667822,-0.22467171793444,0.184343747206624,0.970920793791279,0.934031683694207,1.10478013330359,1.05189237096991,-0.133859339512314,9,1,2,1,1.78912289700587,0.056535133,0.019968497
"16","JB01",1,"Clarinet",24,3.444444444,3.75,3.5,3.5,4,3.75,3.5,2,3.25,3.75,3.638888889,3.75,4.25,4.25,3.25,3,3.75,4,3.25,3.25,4.444444444,4.75,4.5,4.5,4.75,4.25,4.25,4.75,3.25,5,3.833333333,3.5,3.75,4,3.75,4,3.5,4,4,4,3.972222222,2.694444444,2.5,2.25,3.25,3.25,2.75,2.25,2.75,2.75,2.5,2.777777778,2,2.25,3.75,3.5,3,2.25,3.5,2.75,2,3.472222222,3.5,3.25,4,4,3.75,3.25,3,3,3.5,2.98148148133333,41,60,45,41,44,105,4.5,5.83333333333333,2.16666666666667,5.75,2.83333333333333,6,6,5,2,4.5,7,2.5,8,16,1,5,2,0,1,9,10,10,8,"",17.5,5,-0.0392914704354196,0.0114640638141976,0.0854950785973301,0.0442293529402258,0.111406583713153,0.103562970777716,0.160572000792579,13.8476058531618,13.5723274660045,14.1064971697298,14.5845921725331,0.374352492945977,0.434569476451902,0.406785154472168,0.374399378319576,0.139677796051778,0.147606924419509,0.108674256572589,0.0882322133162442,0.162451501380405,0.268440843426513,0.185618141539632,0.0895117632874841,0.990740740666667,9,1,13.8429920580451,14.2562269360799,0.38691949236442,0.348977249121712,0.136250088699901,0.0940603693972904,0.217782207785665,0.14027413887425,-0.4132348780348,0.037942243242708,0.0421897193026106,0.077508068911415,-0.426719270405378,-0.361940781177125,-0.390634904934307,-0.426664881068018,-0.854872626230878,-0.830893268755217,-0.96387332208285,-1.05437282630455,-0.789276270541147,-0.571151405323988,-0.731379579919291,-1.04811988764337,-0.412379390689543,-0.457202885083698,0.044823494394155,33.5,2,-0.032432661526191,0.060170098132326,-0.258891316567999,-1.0122647065286,0.031003539479189,0.0593747111032648,-0.023166640159227,0.178929080139029,0.476968482319386,0.223479557549332,1.14137469364312,1.13265432952916,1.14941918606361,1.16389428949513,-0.00804449242049432,25,2,36,2,1.08218754794595,-0.021123895,-0.14252709
"17","JC",2,"Double Bass",23,3.277777778,2.75,2.75,4,3,3.5,3.25,3.25,3.5,3.5,3.833333333,3.5,4,4,4,3.5,3.5,4,4,4,4.166666667,4,4.25,4.25,4.25,4,4,4.5,4.25,4,4.805555556,4.25,5,5,5,5,4.75,5,5,4.25,4.26851851866667,3.083333333,2.25,3,3.5,4,3.25,2.75,4,3,2,2.75,1.5,1.75,4.25,4.25,3,1.25,4.75,3,1,2.638888889,1,2.75,3.75,5,1.25,1,5,3,1,2.824074074,53,56,37,35,30,92,4.53333333333333,4.83333333333333,4.5,3.875,5,5,2.5,7,2,5,6,2,6,17,2,0,1,1,3,NA,NA,NA,NA,"Forgot to answer questionnaire",14,5,-0.017639596769846,-0.146699398277887,-0.0466581478165133,-0.0109619268391089,-0.00698753681656015,0.104788161519452,0.152681739441832,13.8325453046135,13.4169191725817,13.3495288630839,13.5297765539095,1.0452859031297,1.40927782375321,0.987634250655161,1.03299900929916,0.100279096633915,0.110099474501212,0.112850557133503,0.0938750111367222,0.218474279364124,0.0574401782225089,0.265437331124389,0.214241195705581,1.44444444466667,3,1,13.8441560282553,13.4409015130079,1.16402719750799,1.01869059849725,0.098667844731932,0.10354740247954,0.141002780099217,0.250948478724025,0.403254515247401,0.14533659901074,-0.004879557747608,-0.109945698624808,0.0192350934798789,0.14899661797028,-0.00540385736646366,0.0140999050083773,-0.998789587046021,-0.958214753887181,-0.94749629250639,-1.02744999846589,-0.660599684495568,-1.24078422125649,-0.576037997970475,-0.669097016476172,0.0659631277276583,0.0080422980699956,0.0579208296576627,40,2,0.057651652474539,0.37627881445405,0.4830164415296,-0.1128573813278,-0.012571460499588,0.0162244633644898,-0.046963051760265,-0.156801017483072,-0.57168720478032,0.0692352445787118,1.140902101298,1.12765280346698,1.12546593867636,1.13129062422472,0.0154361626216404,13,1,40,2,0.952804933740436,-0.043189971,0.078628347
"18","JL",1,"Violin",25,2.527777778,2.75,2.5,3.25,2.25,3,2.25,1.25,3,2.5,4.361111111,5,4.75,5,4,4.25,4.75,3.5,4,4,4.611111111,5,4.75,5,4.5,4.25,5,4.25,4.75,4,4.888888889,5,5,5,5,5,5,4,5,5,4.62037037033333,2.694444444,3.25,3.25,4,2,3,3,2,1.75,2,2.694444444,3.5,3,4,2,3,3,2,1.5,2.25,2.611111111,3.75,3,4,3,2,2.75,2,1,2,2.66666666633333,46,47,40,33,31,89,4.53333333333333,4,4.16666666666667,5.375,4.66666666666667,6,5.5,4,4,6,8,2.5,8,17,2,0,2,0,1,6,7,7,4,"",17.5,6,-0.0308319886363092,0.0226534219697318,0.237453838718761,0.161300042372258,0.00673561029453795,-0.499431523920805,-0.957110282125024,10.4434587149652,11.1499562146675,11.3767599578191,12.472641111715,2.97303268508338,2.52975171898375,2.66231590774751,2.58321785122117,0.276606960811608,0.236750779751374,0.192800899430557,0.149307856673869,0.185362097549937,0.0832814346702924,0.287508946718241,0.0693257925278541,1.953703704,1,1,10.8122051443834,12.0019397413435,2.75709867568593,2.49433160454542,0.254257029502583,0.169285973523013,0.136455681548579,0.215570362383456,-1.1897345969601,0.26276707114051,0.08497105597957,-0.079114680834877,0.473199683800741,0.403077899687099,0.425259587145938,0.412161033193706,-0.558136895072575,-0.625708581950196,-0.714890944412355,-0.825917338823319,-0.731979064731628,-1.07945180194103,-0.541348636365976,-1.15910515689606,0.440452309645497,0.396954189499773,0.043498120145724,44,2,0.31071677733587,-0.0534661322374199,-0.933301242853901,-1.3226848970475,0.083806061381051,0.087442923077505,-0.102146849168304,0.0139556421424383,0.0796533549550302,0.200208756873124,1.01884435422754,1.04727316193435,1.05601859485402,1.09595842611633,-0.0371742406264814,3,1,42,2,1.50436076580873,-0.132856599,0.062232042
"19","KC",1,"Piano",27,4.611111111,4,5,5,4.75,5,4.75,4.25,5,3.75,4.083333333,3.75,4.75,5,4,4.5,4.25,3.25,4.5,2.75,4.083333333,4,4.5,5,4,4,4.25,4,4,3,4.305555556,4.25,4.75,4.25,3.75,4,5,4.5,5,3.25,4.15740740733333,3.694444444,3,4,4.25,4.25,3.5,4.75,4.75,2,2.75,3.222222222,2.75,4,3.75,4,2.25,3.25,5,2,2,3.416666667,3,3.75,3.75,4,3.75,3.5,5,2,2,3.44444444433333,51,60,45,41,39,110,5.13333333333333,5.66666666666667,4,5.75,4,3,5.5,7,4.5,5.5,5,4,5,22,1,3,2,0,1,9,10,5,5,"",2,7,0.00483470501696544,-0.0191546423370881,0.0690845614851707,-0.12827690387812,0.0823375542329821,0.317210708960677,0.44993506875788,7.14417665043914,3.83725503466283,9.70698290773149,3.7946521971567,5.38236031225933,6.4717570347478,5.09448503853972,5.68972647074904,0.377420229957831,0.463176881105168,0.289668162720799,0.426161934801107,0.191231074006957,0.1730761059176,0.161460847431882,0.137254448004414,0.712962963,22,1,6.23412160417529,8.0532191866989,5.67326656139356,5.09744787793911,0.400401077050002,0.32644020022551,0.182202072078982,0.14975620610537,-1.81909758252361,0.57581868345445,0.073960876824492,0.032445865973612,0.730972767450066,0.811022204455729,0.707100291144513,0.75509138852166,-0.423174825094273,-0.334253126005634,-0.538099235257038,-0.370425344495385,-0.718441535840051,-0.761762884663072,-0.791932772439594,-0.862473572470066,0.753833189597243,0.707352793755884,0.0464803958413582,4.5,1,0.28787527371961,0.78203056399876,-2.56280625729235,0.0426028375061298,0.087752067237032,0.037014946304061,0.029770226575075,0.035821657913186,0.100710687806994,0.0361722184897516,0.853952184593039,0.584020664579074,0.987084264909541,0.579171976337508,-0.133132080316503,18,1,17.5,1,2.3818787410416,-0.025459638,-0.062112846
"20","KH",2,"Electric Guitar",24,4.388888889,4,4,4.5,4,4.75,5,4.75,4,4.5,4.305555556,4,4.75,4.75,3.75,4.5,4.25,4.75,4.25,3.75,4.527777778,4.25,5,4,3.5,5,4.75,5,5,4.25,4.833333333,4.75,5,5,4,5,5,5,5,4.75,4.55555555566667,2.888888889,1,4.75,4.75,2.75,1.5,3.75,5,1,1.5,2.555555556,1,4.75,4.5,1,1,3.75,5,1,1,2.388888889,1,3.5,4,1,1,4,5,1,1,2.61111111133333,56,60,44,42,41,113,5.46666666666667,6.16666666666667,5,6,5,6.5,4.5,5,6.5,6,6,2.5,14,10,1,4,2,0,2,10,10,3,10,"",8,7,-0.0591818040331922,0.0573510052126721,0.0789144933439187,0.00531711369384301,0.0766937914125538,0.0824448805035014,0.106924577801822,10.3731922023463,8.50569257820431,11.3754709808839,10.3092103209761,2.63295213908799,2.9830433401212,2.02936507501614,2.32979169526629,0.354768732129306,0.473677292608987,0.283531928991184,0.341320177681797,0.215773052019064,0.165720173614949,0.195668337046564,0.321213218524732,1.94444444433333,2,1,10.3305366343704,11.3849243638577,2.66090254571618,1.97127548545249,0.368452736420591,0.286033938138428,0.191990245209515,0.279464988735593,-1.0543877294873,0.68962706026369,0.082418798282163,-0.087474743526078,0.420442964719854,0.474659563197379,0.307360181978077,0.367317092854126,-0.450054664099908,-0.324517434210167,-0.547398027409927,-0.466838036957705,-0.666002795474272,-0.780624620389585,-0.708479445974557,-0.493206590995388,0.425028969014847,0.29474732110923,0.130281647905618,6,1,0.60358706407185,0.65325164485491,-1.0022787785376,-1.80351774277179,0.071236803138122,0.13235711492719,0.0201047149725,-0.155493044909783,-0.287418029394197,0.142320602747538,1.01591242490655,0.929709681928179,1.05596938688207,1.0132253998735,-0.0400569619755222,5,1,43,2,2.61973394529995,0.089324359,0.045698502
"21","KJ",1,"Violin",28,3.694444444,4,3.5,3.75,4,3.75,3.75,2.5,4,4,3.666666667,4,3,4,4.5,4.25,4,3.25,2.5,3.5,4.166666667,4.25,4.25,4.25,4.5,3.75,4.5,4,4,4,4.083333333,4,3.75,4,4.75,3.5,4.25,4.25,4.25,4,3.97222222233333,3.305555556,3.25,4,2.75,4,2.25,4,4,2.5,3,3.083333333,3.5,4.25,2,3.75,2,3.5,4,2.75,2,3.111111111,3.5,4.25,2,3.75,2,4,4.5,2,2,3.16666666666667,50,60,45,36,38,105,5.4,6.33333333333333,4.16666666666667,5,6,3.5,5.5,6.5,4,5.5,5,0.5,5,23,2,0,2,0,1,9,9,7,6,"",3.5,6,0.0475543262237868,-0.0428784452579903,-0.134786797103347,-0.370714349799675,0.0033044879973896,0.428343589371749,0.500340453796965,11.0413714516604,9.07113582176792,11.1844474497017,10.1275274491006,1.93855186959178,2.13737105278486,1.80550156357156,1.83957299622049,0.189745338233973,0.224622699665379,0.208391517562446,0.251923028555472,0.137981307973168,0.137689261595695,0.282022170826116,0.114719293704471,0.805555555666666,19,1,10.2874188056446,10.8432445540519,2.01954465938638,1.80126349729163,0.200682076422319,0.224333278561539,0.134829939632887,0.218765472653606,-0.555825748407299,0.21828116209475,-0.02365120213922,-0.083935533020719,0.287477425862246,0.329879923281742,0.256597868863763,0.264717025777784,-0.721828885282979,-0.648546357418853,-0.681119962679599,-0.598732131360781,-0.860179742540338,-0.861099929108276,-0.549716748811991,-0.940363535501197,0.305253461423124,0.255577248105079,0.0496762133180454,22.5,2,0.13305030602022,0.29779805656437,-0.143075998041301,-1.05639162733268,-0.018646179328473,-0.027300328890093,-0.144040862852948,0.022969967891224,0.0792636063929218,-0.0498142260580727,1.0430230205758,0.957661669666755,1.04861453331659,1.00550342894541,-0.00559151274079439,24,2,31,2,1.88718587432816,0.062641773,0.121100864
"22","LM",2,"Acoustic Guitar",22,3,3,3.25,2.75,2.5,2.5,3.25,2,3.75,4,4.388888889,4.5,4.25,5,4.75,4,4.25,4,4,4.75,4.194444444,4.75,4,4,4,4,4,4,4,5,4.333333333,5,4,4,4.75,4,4.25,4,4,5,4.30555555533333,2.444444444,2.75,2,2.75,3.75,2,2.5,2.25,2,2,3.138888889,3.5,2.5,3.25,4,3.25,3.25,3,2.25,3.25,3,3,2.5,3.5,4,2.5,2.75,3,2.25,3.5,2.861111111,48,55,32,38,35,92,4.1,4.5,3.66666666666667,3.75,4.5,4,4.5,3.5,3.5,6,16,0.857,16,6,2,0,2,0,2,10,7,6,10,"",6,5,0.14919521268162,0.080089702722739,0.0791856526281246,-0.0907354088624187,-0.0673885343184297,-0.481083494532563,-0.768021218880356,9.76241355800662,9.43931743461107,8.88914872713739,9.39538964671394,1.65012751299903,1.98152743466588,2.05099854148213,2.16161887732446,0.423745457907459,0.450312342541886,0.508968792635698,0.458848931508508,0.30661890147384,0.288407867194882,0.327152132305853,0.230031238487415,1.44444444433333,4,1,9.67720125189084,9.2736701093496,1.76578601913928,2.07407799609702,0.433676351739417,0.475463092914143,0.304360537021425,0.280839813668045,0.40353114254124,-0.30829197695774,-0.041786741174726,0.02352072335338,0.217517505457621,0.297000089610669,0.311965351530488,0.334779124369502,-0.37289494393057,-0.346486149363131,-0.293308845564241,-0.338330275271614,-0.513401076641565,-0.539992897098501,-0.485250244720203,-0.638213182323802,0.246938073908841,0.316825084086596,-0.0698870101777554,42,2,-0.4008710284831,-0.18009144265858,0.873264830869228,0.0439277878971289,-0.0852233347282391,-0.00853658896662196,-0.020533230832013,0.058376628707467,0.098220285225301,-0.00815587409151736,0.989557201410639,0.974940591215505,0.94886017257779,0.972914795922305,0.0406970288328482,11,1,38,2,2.25583696568184,-0.123885329,-0.013207896
"23","LYL",1,"Piano",29,3.361111111,2.25,3.5,3.75,4,3.5,3.25,2,4.25,3.75,3.25,2.5,3,4,4,4,2.75,2,4,3,3.055555556,2.5,2.25,4,4,4,2.25,2.25,3.5,2.75,3.416666667,3,3.25,4,4,4,3,2.75,3.75,3,3.240740741,3.138888889,3,2.5,4,4,4,2.5,2,3.25,3,3.333333333,3,2.75,4,4,4,3.25,2,3.5,3.5,3.416666667,3,3.5,4,4,4,3.5,2.5,3.25,3,3.29629629633333,46,57,43,37,41,108,3.86666666666667,3.66666666666667,3.33333333333333,4.625,3.66666666666667,2,6,4,3.5,4.5,5,0.5,5,24,1,2,2,0,1,10,7,10,5,"",3.5,6,-0.0114178184891417,0.0475984395644481,0.0484452839205806,-0.0763005523475359,0.10106460943752,-0.181444469462671,-0.400093513585439,11.4790496469784,10.7811374816323,11.7085272426444,10.9382262667763,5.06076759031885,4.18712852914769,3.69517341999952,2.80117977393497,0.123559823776012,0.136338175089868,0.12224331298765,0.151548466817113,0.084247181275503,0.0664644183456133,0.125808657177064,0.196681948306577,-0.0555555553333336,41,2,11.1911382882064,11.3572700936929,4.60449680798226,3.26049665340234,0.128492900495193,0.135507875377123,0.0760958933544948,0.169085526784584,-0.166131805486501,1.34400015457992,-0.00701497488193001,-0.0929896334300892,0.704216393313595,0.621916292308205,0.567634825296876,0.44734098184126,-0.908122719771365,-0.86538252340566,-0.912774888539673,-0.819448452936977,-1.07444462074711,-1.17741079156562,-0.900289473081005,-0.706235498294198,0.663182176235978,0.513283758780668,0.14989841745531,37,2,1.36559417031933,1.38594875521272,-0.229477595666001,-0.157088785144001,0.00131651078836201,-0.015210291727245,-0.041561475901561,-0.130217529960964,-0.471175293271422,-0.0459340704686833,1.05990593421546,1.03266458422131,1.06850227076683,1.03894690289271,-0.00859633655137837,44,2,26,2,1.73091324183485,0.050763534,0.045062973
"24","MH",1,"Classical Guitar",19,3.611111111,4,3.25,4,4,3,3.25,3,4,4,3.916666667,4,4,4,4,4,3.25,4,4,4,3.777777778,4,4,4,4,3.5,2.5,4,4,4,3.805555556,4,4,4,4,3.25,3,4,4,4,3.83333333366667,2.944444444,4,2,4,3.75,2,3.5,2.5,2.25,2.5,3.055555556,4,2,4,4,2,3.75,3,2.75,2,3,4,2,4,4,2,4,3,2,2,3,52,56,48,40,44,116,5.5,6.16666666666667,5,5.375,5.33333333333333,6.5,7,5.5,6.5,7,4,2,9,10,1,NA,1,1,3,10,10,7,9,"",5,6,0.0144154487101242,-0.0730580883446756,0.0720038516510814,0.0417852781604408,-0.101308389867857,-0.0458263893779215,0.0776362022722132,13.8990160821896,13.7408053975041,14.3997148676048,14.0368884330313,1.1207283576615,1.36575783009648,0.50840432134024,0.962135109709771,0.0919494094051817,0.110887124690787,0.0716819798841455,0.101412637770207,0.330876227844106,0.340412231638276,0.486231262383785,0.274647516959055,0.833333333666667,17.5,1,13.9401462743238,14.3060507463522,1.18075674161414,0.649943765631667,0.0949348746232972,0.0804022493174441,0.347846921144483,0.435497128261777,-0.365904472028401,0.530812975982473,0.0145326253058531,-0.087650207117294,0.0495003609762067,0.135373699069795,-0.293790766681671,-0.0167639370253184,-1.03645105590817,-0.955118877659328,-1.14459000779788,-0.99390792101976,-0.480334434070103,-0.467994843306694,-0.313157121501962,-0.56122432300656,0.0721604338908817,-0.187124217714622,0.259284651605504,26,2,0.61232403632126,0.403622720386709,-0.500698785415199,-0.2960830355272,0.0202674295210362,0.00947448692058001,-0.155355034539679,0.065764714679221,0.0932294796998662,0.0387890433604322,1.14298405743395,1.1380121890147,1.15835389260554,1.14727084809796,-0.0153698351715927,28,2,35,2,2.52263384678283,0.062712716,-0.115800255
